Derrick,Henry,Tennessee Titans,RB,13
Dalvin,Cook,Minnesota Vikings,RB,16
Josh,Jacobs,Las Vegas Raiders,RB,10
Jonathan,Taylor,Indianapolis Colts,RB,10
Kenyan,Drake,Arizona Cardinals,RB,13
Ronald,Jones II,Tampa Bay Buccaneers,RB,15
Nick,Chubb,Cleveland Browns,RB,16
Melvin,Gordon III,Denver Broncos,RB,13
Kareem,Hunt,Cleveland Browns,RB,16
Clyde,Edwards-Helaire,Kansas City Chiefs,RB,15
Todd,Gurley II,Atlanta Falcons,RB,11
Cam,Akers,Los Angeles Rams,RB,11
Frank,Gore,New York Jets,RB,14
Antonio,Gibson,Washington Football Team,RB,16
James,Conner,Pittsburgh Steelers,RB,11
Devin,Singletary,Buffalo Bills,RB,13
Miles,Sanders,Philadelphia Eagles,RB,16
Gus,Edwards,Baltimore Ravens,RB,11
Chris,Carson,Seattle Seahawks,RB,16
Adrian,Peterson,Detroit Lions,RB,15
J.K.,Dobbins,Baltimore Ravens,RB,12
Latavius,Murray,New Orleans Saints,RB,15
Wayne,Gallman Jr.,New York Giants,RB,13
David,Johnson,Houston Texans,RB,16
Myles,Gaskin,Miami Dolphins,RB,13
Jamaal,Williams,Green Bay Packers,RB,14
Darrell,Henderson,Los Angeles Rams,RB,12
Damien,Harris,New England Patriots,RB,11
Jeff,Wilson Jr.,San Francisco 49ers,RB,12
Zack,Moss,Buffalo Bills,RB,11
Joe,Mixon,Cincinnati Bengals,HB,10
Phillip,Lindsay,Denver Broncos,RB,11
Benny,Snell Jr.,Pittsburgh Steelers,RB,16
Joshua,Kelley,Los Angeles Chargers,RB,14
Malcolm,Brown,Los Angeles Rams,RB,14
Raheem,Mostert,San Francisco 49ers,RB,10
Tony,Pollard,Dallas Cowboys,RB,15
Brian,Hill,Atlanta Falcons,RB,13
Alexander,Mattison,Minnesota Vikings,RB,15
Peyton,Barber,Washington Football Team,RB,16
Devontae,Booker,Las Vegas Raiders,RB,16
Kalen,Ballage,Los Angeles Chargers,RB,12
Carlos,Hyde,Seattle Seahawks,RB,12
Jordan,Wilkins,Indianapolis Colts,RB,12
Le'Veon,Bell,Kansas City Chiefs,RB,13
Jerick,McKinnon,San Francisco 49ers,RB,12
Boston,Scott,Philadelphia Eagles,RB,14
Sony,Michel,New England Patriots,RB,10
Duke,Johnson Jr.,Houston Texans,RB,15
Salvon,Ahmed,Miami Dolphins,RB,13
Mark,Ingram II,Baltimore Ravens,RB,14
Rex,Burkhead,New England Patriots,RB,12
